root_domain,domain_authority,spam_score
google.com,100,15
youtube.com,100,3
apple.com,99,5
linkedin.com,99,1
microsoft.com,99,1
wikipedia.org,98,9
cloudflare.com,98,2
mozilla.org,98,2
whatsapp.com,97,2
adobe.com,97,5,
vimeo.com,96,4,
facebook.com,96,1
amazon.com,96,28
github.com,96,2
nih.gov,95,1
imdb.com,95,5
paypal.com,95,2
yahoo.com,95,2
bbc.co.uk,95,1
medium.com,95,2
theguardian.com,95,1
reuters.com,95,1
myspace.com,95,10
weebly.com,95,2
dropbox.com,95,2
nytimes.com,95,1
forbes.com,95,1
brandbucket.com,95,1
dailymotion.com,95,1
cnn.com,95,1